user,tweet
yakult_marimas,"RT @KyaiTebas: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jakarta U…"
inboxpetiga,"RT @DPP_PPP: Respon Cepat Satgas Becana LIGANA DPP PPP Membantu Korban Bencana Banjir Dan Longsor di Lombok NTB

Semoga sedikit membantu ma…"
jonescada,"RT @DPP_PPP: Respon Cepat Satgas Becana LIGANA DPP PPP Membantu Korban Bencana Banjir Dan Longsor di Lombok NTB

Semoga sedikit membantu ma…"
nonamanis2021,RT @Lania_Rizky: bibit-bibit yang diproduksi di persemaian modern Rumpin oleh pemerintah melalui kemen LHK akan didistribusikan ke lokasi a…
FattahFachri,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
HeriRiva75,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
mang_ib,RT @Lania_Rizky: bibit-bibit yang diproduksi di persemaian modern Rumpin oleh pemerintah melalui kemen LHK akan didistribusikan ke lokasi a…
rozikinmshobrie,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
AndiniZ16817618,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
AbiUsamah1,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
DrNurjaya,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
beautykjn,"musim lagi jelek banget, buat yang daerah nya rawan banjir, rawan longsor atau yang rumah nya deket sungai, danau, gunung semuanya stay safe yaa 💗 
semoga kita semua selalu dilindungi sama Tuhan Yang Maha Esa."
soloposdotcom,"Banjir Bandang dan Longsor Terjang Lombok Barat NTB, 4 Meninggal Dunia https://t.co/8civP7chmi https://t.co/DPcEpq1S0Z"
_SEKNAS_RI,RT @Lania_Rizky: bibit-bibit yang diproduksi di persemaian modern Rumpin oleh pemerintah melalui kemen LHK akan didistribusikan ke lokasi a…
Santi11Irma,"RT @Muhammad_NamaQ: 𝐃𝐎𝐀 𝐔𝐍𝐓𝐔𝐊 𝐈𝐍𝐃𝐎𝐍𝐄𝐒𝐈𝐀, TOLONG AAMIINKAN DOA INI, JAGA SAUDARA KAMI DISANA YA ALLAH 😥😥

Ya Allah, sungguh aku berlindung k…"
dislutkanntb,"Hai #SahabatLaut, pada hari Selasa, (07/12/2021) Dinas Kelautan dan Perikanan Provinsi NTB (Dislutkan NTB) menyalurkan bantuan di 2 Desa pada Kecamatan Gunung Sari berupa makanan dan air minum kepada korban terdampak banjir dan longsor.

#NTBTangguhDanMantap 
#ntbgemilang https://t.co/vyp9Aywlxb"
rikasang0101,"La Nina merupakan fenomena alam yang menimbulkan curah hujan meningkat, yang berpotensi menimbulkan bencana hidrometeorologi, seperti banjir, banjir bandang, tanah longsor, angin kencang, puting beliung, dan sebagainy https://t.co/hL26xE4aDI"
Jaimededevangel,RT @kumparan: Menurut data BPBD NTB sebanyak empat korban meninggal dunia akibat banjir bandang disertai tanah longsor di Dusun Batulayar U…
akdintanjung,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
MalaKlose,RT @kumparan: Menurut data BPBD NTB sebanyak empat korban meninggal dunia akibat banjir bandang disertai tanah longsor di Dusun Batulayar U…
kumparan,Menurut data BPBD NTB sebanyak empat korban meninggal dunia akibat banjir bandang disertai tanah longsor di Dusun Batulayar Utara. #kumparanNEWS https://t.co/YVE05UTZzw
nusabalicom,Senderan Tempat Parkir Jebol Timpa Bale Pesandekan Pura Beji https://t.co/cMzbl4RDw0 #berita #nusabali #MusimHujan #Longsor #Banjir
mantariameh2,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
